HKWorkoutActivityTypeArchery archery
HKWorkoutActivityTypeBowling bowling
HKWorkoutActivityTypeFencing fencing
HKWorkoutActivityTypeGymnastics gymnastics
HKWorkoutActivityTypeTrackAndField track_and_field
HKWorkoutActivityTypeAmericanFootball american_football
HKWorkoutActivityTypeAustralianFootball australian_football
HKWorkoutActivityTypeBaseball baseball
HKWorkoutActivityTypeBasketball basketball
HKWorkoutActivityTypeCricket cricket
HKWorkoutActivityTypeDiscSports disc_sports
HKWorkoutActivityTypeHandball handball
HKWorkoutActivityTypeHockey hockey
HKWorkoutActivityTypeLacrosse lacrosse
HKWorkoutActivityTypeRugby rugby
HKWorkoutActivityTypeSoccer soccer
HKWorkoutActivityTypeSoftball softball
HKWorkoutActivityTypeVolleyball volleyball
HKWorkoutActivityTypePreparationAndRecovery preparation_and_recovery
HKWorkoutActivityTypeFlexibility flexibility
HKWorkoutActivityTypeCooldown cooldown
HKWorkoutActivityTypeWalking walking
HKWorkoutActivityTypeRunning running
HKWorkoutActivityTypeWheelchairWalkPace wheelchair_walk_pace
HKWorkoutActivityTypeWheelchairRunPace wheelchair_run_pace
HKWorkoutActivityTypeCycling cycling
HKWorkoutActivityTypeHandCycling hand_cycling
HKWorkoutActivityTypeCoreTraining core_training
HKWorkoutActivityTypeElliptical elliptical
HKWorkoutActivityTypeFunctionalStrengthTraining functional_strength_training
HKWorkoutActivityTypeTraditionalStrengthTraining traditional_strength_training
HKWorkoutActivityTypeCrossTraining cross_training
HKWorkoutActivityTypeMixedCardio mixed_cardio
HKWorkoutActivityTypeHighIntensityIntervalTraining hiit
HKWorkoutActivityTypeJumpRope jump_rope
HKWorkoutActivityTypeStairClimbing stair_climbing
HKWorkoutActivityTypeStairs stairs
HKWorkoutActivityTypeStepTraining step_training
HKWorkoutActivityTypeFitnessGaming fitness_gaming
HKWorkoutActivityTypeBarre barre
HKWorkoutActivityTypeCardioDance cardio_dance
HKWorkoutActivityTypeSocialDance social_dance
HKWorkoutActivityTypeYoga yoga
HKWorkoutActivityTypeMindAndBody mind_and_body
HKWorkoutActivityTypePilates pilates
HKWorkoutActivityTypeBadminton badminton
HKWorkoutActivityTypePickleball pickleball
HKWorkoutActivityTypeRacquetball racquetball
HKWorkoutActivityTypeSquash squash
HKWorkoutActivityTypeTableTennis table_tennis
HKWorkoutActivityTypeTennis tennis
HKWorkoutActivityTypeClimbing climbing
HKWorkoutActivityTypeEquestrianSports equestrian_sports
HKWorkoutActivityTypeFishing fishing
HKWorkoutActivityTypeGolf golf
HKWorkoutActivityTypeHiking hiking
HKWorkoutActivityTypeHunting hunting
HKWorkoutActivityTypePlay play
HKWorkoutActivityTypeCrossCountrySkiing cross_country_skiing
HKWorkoutActivityTypeCurling curling
HKWorkoutActivityTypeDownhillSkiing downhill_skiing
HKWorkoutActivityTypeSnowSports snow_sports
HKWorkoutActivityTypeSnowboarding snowboarding
HKWorkoutActivityTypeSkatingSports skating_sports
HKWorkoutActivityTypePaddleSports paddle_sports
HKWorkoutActivityTypeRowing rowing
HKWorkoutActivityTypeSailing sailing
HKWorkoutActivityTypeSurfingSports surfing_sports
HKWorkoutActivityTypeSwimming swimming
HKWorkoutActivityTypeWaterFitness water_fitness
HKWorkoutActivityTypeWaterPolo water_polo
HKWorkoutActivityTypeWaterSports water_sports
HKWorkoutActivityTypeBoxing boxing
HKWorkoutActivityTypeKickboxing kickboxing
HKWorkoutActivityTypeMartialArts martial_arts
HKWorkoutActivityTypeTaiChi tai_chi
HKWorkoutActivityTypeWrestling wrestling
HKWorkoutActivityTypeOther other
HKWorkoutActivityTypeDance dance
HKWorkoutActivityTypeDanceInspiredTraining dance_inspired_training
HKWorkoutActivityTypeMixedMetabolicCardioTraining mixed_metabolic_cardio_training
